doc0	AP890321-0001
doc1	AP890321-0002
doc2	AP890321-0003
doc3	AP890321-0004
doc4	AP890321-0005
doc5	AP890321-0006
doc6	AP890321-0007
doc7	AP890321-0008
doc8	AP890321-0009
doc9	AP890321-0010
doc10	AP890321-0011
doc11	AP890321-0012
doc12	AP890321-0013
doc13	AP890321-0014
doc14	AP890321-0015
doc15	AP890321-0016
doc16	AP890321-0017
doc17	AP890321-0018
doc18	AP890101-0001
doc19	AP890101-0002
doc20	AP890101-0003
doc21	AP890101-0004
doc22	AP890101-0005
doc23	AP890101-0006
doc24	AP890101-0007
doc25	AP890101-0008
doc26	AP890101-0009
doc27	AP890101-0010
doc28	AP890101-0011
doc29	AP890101-0012
doc30	AP890101-0013
doc31	AP890101-0014
doc32	AP890101-0015
doc33	AP890101-0016
doc34	AP890101-0017
doc35	AP890101-0018
doc36	AP890101-0019
doc37	AP890101-0020
doc38	AP890101-0021
doc39	AP890101-0022
doc40	AP890101-0023
doc41	AP890101-0024
doc42	AP890101-0025
doc43	AP890101-0026
doc44	AP890101-0027
doc45	AP890101-0028
doc46	AP890101-0029
doc47	AP890101-0030
doc48	AP890101-0031
doc49	AP890101-0032
doc50	AP890101-0033
doc51	AP890101-0034
doc52	AP890101-0035
doc53	AP890101-0036
doc54	AP890101-0037
doc55	AP890101-0038
doc56	AP890101-0039
doc57	AP890101-0040
doc58	AP890101-0041
doc59	AP890101-0042
doc60	AP890101-0043
doc61	AP890101-0044
doc62	AP890101-0045
doc63	AP890101-0046
doc64	AP890101-0047
doc65	AP890101-0048
doc66	AP890101-0049
doc67	AP890101-0050
doc68	AP890101-0051
doc69	AP890101-0052
doc70	AP890101-0053
doc71	AP890101-0054
doc72	AP890101-0055
doc73	AP890101-0056
doc74	AP890101-0057
doc75	AP890101-0058
doc76	AP890101-0059
doc77	AP890101-0060
doc78	AP890101-0061
doc79	AP890101-0062
doc80	AP890101-0063
doc81	AP890101-0064
doc82	AP890101-0065
doc83	AP890101-0066
doc84	AP890101-0067
doc85	AP890101-0068
doc86	AP890101-0069
doc87	AP890101-0070
doc88	AP890101-0071
doc89	AP890101-0072
doc90	AP890101-0073
doc91	AP890128-0001
doc92	AP890128-0002
doc93	AP890128-0003
doc94	AP890128-0004
doc95	AP890128-0005
doc96	AP890128-0006
doc97	AP890128-0007
doc98	AP890128-0008
doc99	AP890128-0009
doc100	AP890128-0010
doc101	AP890128-0011
doc102	AP890128-0012
doc103	AP890128-0013
doc104	AP890128-0014
doc105	AP890128-0015
doc106	AP890128-0016
doc107	AP890128-0017
doc108	AP890128-0018
doc109	AP890128-0019
doc110	AP890128-0020
doc111	AP890128-0021
doc112	AP890128-0022
doc113	AP890128-0023
doc114	AP890128-0024
doc115	AP890128-0025
doc116	AP890128-0026
doc117	AP890128-0027
doc118	AP890128-0028
doc119	AP890128-0029
doc120	AP890128-0030
doc121	AP890128-0031
doc122	AP890128-0032
doc123	AP890128-0033
doc124	AP890128-0034
doc125	AP890128-0035
doc126	AP890128-0036
doc127	AP890128-0037
doc128	AP890128-0038
doc129	AP890128-0039
doc130	AP890128-0040
doc131	AP890128-0041
doc132	AP890128-0042
doc133	AP890128-0043
doc134	AP890128-0044
doc135	AP890128-0045
doc136	AP890128-0046
doc137	AP890128-0047
doc138	AP890128-0048
doc139	AP890128-0049
doc140	AP890128-0050
doc141	AP890128-0051
doc142	AP890128-0052
doc143	AP890128-0053
doc144	AP890128-0054
doc145	AP890128-0055
doc146	AP890128-0056
doc147	AP890128-0057
doc148	AP890128-0058
doc149	AP890128-0059
doc150	AP890128-0060
doc151	AP890128-0061
doc152	AP890128-0062
doc153	AP890128-0063
doc154	AP890128-0064
doc155	AP890128-0065
doc156	AP890128-0066
doc157	AP890128-0067
doc158	AP890128-0068
doc159	AP890128-0069
doc160	AP890128-0070
doc161	AP890128-0071
doc162	AP890128-0072
doc163	AP890128-0073
doc164	AP890128-0074
doc165	AP890128-0075
doc166	AP890128-0076
doc167	AP890128-0077
doc168	AP890128-0078
doc169	AP890128-0079
doc170	AP890128-0080
doc171	AP890128-0081
doc172	AP890128-0082
doc173	AP890128-0083
doc174	AP890128-0084
doc175	AP890128-0085
doc176	AP890128-0086
doc177	AP890128-0087
doc178	AP890128-0088
doc179	AP890128-0089
doc180	AP890128-0090
doc181	AP890128-0091
doc182	AP890128-0092
doc183	AP890128-0093
doc184	AP890128-0094
doc185	AP890128-0095
